Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Month,Year,Price_per_unit,Profit_margin,Profit_per_unit
2024-12-31,Printer,Office,North,4,3640,348.93,12,2024,910.0,0.09585989010989011,87.2325
2022-11-27,Mouse,Accessories,East,7,1197,106.53,11,2022,171.0,0.08899749373433584,15.218571428571428
2022-05-11,Tablet,Electronics,South,5,5865,502.73,5,2022,1173.0,0.08571696504688832,100.546
2024-03-16,Mouse,Accessories,South,2,786,202.87,3,2024,393.0,0.25810432569974556,101.435
2022-09-10,Mouse,Accessories,West,1,509,103.28,9,2022,509.0,0.20290766208251473,103.28
2023-12-01,Camera,Electronics,West,1,524,106.35,12,2023,524.0,0.20295801526717555,106.35
2023-10-09,Headphones,Accessories,North,7,6167,1027.98,10,2023,881.0,0.16669044916491002,146.8542857142857
2022-01-14,Camera,Electronics,South,7,3059,873.5,1,2022,437.0,0.2855508336057535,124.78571428571429
2022-04-02,Smartwatch,Electronics,East,9,5526,595.28,4,2022,614.0,0.10772348896127397,66.14222222222222
2024-10-22,Printer,Office,South,8,672,186.37,10,2024,84.0,0.27733630952380955,23.29625
2023-12-04,Monitor,Accessories,South,6,7074,1357.68,12,2023,1179.0,0.1919253604749788,226.28
2022-09-27,Smartwatch,Electronics,East,2,502,137.4,9,2022,251.0,0.2737051792828685,68.7
2023-12-21,Tablet,Electronics,North,7,7462,2166.17,12,2023,1066.0,0.2902934870008041,309.45285714285717
2024-02-03,Smartphone,Electronics,West,5,4205,585.29,2,2024,841.0,0.13918906064209274,117.05799999999999
2023-10-10,Camera,Electronics,West,1,570,138.54,10,2023,570.0,0.24305263157894735,138.54
2022-10-16,Headphones,Accessories,East,1,441,102.42,10,2022,441.0,0.23224489795918368,102.42
2022-05-15,Mouse,Accessories,North,7,7469,589.81,5,2022,1067.0,0.0789677332976302,84.25857142857141
2023-02-11,Tablet,Electronics,South,2,2212,145.75,2,2023,1106.0,0.06589059674502712,72.875
2023-12-27,Tablet,Electronics,East,5,740,146.39,12,2023,148.0,0.1978243243243243,29.278
2023-10-05,Headphones,Accessories,North,1,662,193.92,10,2023,662.0,0.29293051359516614,193.92
2024-03-05,Mouse,Accessories,North,7,5712,651.27,3,2024,816.0,0.11401785714285714,93.03857142857143
2023-07-18,Smartwatch,Electronics,North,3,2739,572.73,7,2023,913.0,0.20910186199342826,190.91
2023-06-25,Keyboard,Accessories,West,5,1400,213.63,6,2023,280.0,0.15259285714285714,42.726
2023-11-13,Printer,Office,North,3,3477,939.2,11,2023,1159.0,0.2701179177451826,313.06666666666666
2022-07-09,Camera,Electronics,North,5,3475,570.36,7,2022,695.0,0.16413237410071943,114.072
2023-12-11,Laptop,Electronics,West,9,6138,1562.14,12,2023,682.0,0.25450309547083744,173.57111111111112
2023-03-18,Camera,Electronics,West,5,3665,406.93,3,2023,733.0,0.11103137789904502,81.386
2024-08-09,Printer,Office,North,2,2372,206.42,8,2024,1186.0,0.08702360876897133,103.21
2024-05-04,Laptop,Electronics,North,2,1382,211.11,5,2024,691.0,0.15275687409551375,105.555
2022-09-04,Laptop,Electronics,West,1,1126,194.08,9,2022,1126.0,0.17236234458259325,194.08
2022-10-21,Printer,Office,West,8,1376,152.1,10,2022,172.0,0.11053779069767442,19.0125
2024-01-22,Mouse,Accessories,West,4,988,147.91,1,2024,247.0,0.14970647773279352,36.9775
2023-04-09,Laptop,Electronics,North,9,10773,1907.36,4,2023,1197.0,0.17705003248862897,211.92888888888888
2023-02-07,Headphones,Accessories,South,4,3252,713.46,2,2023,813.0,0.21939114391143913,178.365
2023-05-04,Headphones,Accessories,North,3,2739,202.81,5,2023,913.0,0.07404527199707922,67.60333333333334
2023-04-18,Tablet,Electronics,South,7,2709,702.79,4,2023,387.0,0.2594278331487634,100.39857142857143
2022-12-12,Printer,Office,West,3,936,201.24,12,2022,312.0,0.215,67.08
2022-09-11,Camera,Electronics,West,4,3720,410.92,9,2022,930.0,0.11046236559139785,102.73
2024-03-26,Mouse,Accessories,West,5,5320,716.91,3,2024,1064.0,0.13475751879699246,143.382
2023-09-20,Headphones,Accessories,East,4,804,121.51,9,2023,201.0,0.1511318407960199,30.3775
2023-05-25,Laptop,Electronics,North,8,1224,246.77,5,2023,153.0,0.201609477124183,30.84625
2022-12-04,Headphones,Accessories,South,9,8667,781.78,12,2022,963.0,0.09020191531094958,86.86444444444444
2022-06-10,Monitor,Accessories,West,3,3018,320.11,6,2022,1006.0,0.10606693174287608,106.70333333333333
2023-02-05,Laptop,Electronics,West,5,4325,1023.39,2,2023,865.0,0.23662196531791907,204.678
2024-01-20,Laptop,Electronics,South,3,1557,181.08,1,2024,519.0,0.11630057803468209,60.36000000000001
2022-01-27,Monitor,Accessories,South,6,3672,1002.5,1,2022,612.0,0.2730119825708061,167.08333333333334
2023-03-29,Mouse,Accessories,West,1,333,72.34,3,2023,333.0,0.21723723723723726,72.34
2022-01-17,Headphones,Accessories,West,4,2384,577.26,1,2022,596.0,0.24213926174496644,144.315
2024-11-26,Mouse,Accessories,West,6,888,210.39,11,2024,148.0,0.23692567567567566,35.065
2024-09-19,Laptop,Electronics,West,5,3280,954.17,9,2024,656.0,0.290905487804878,190.834
2023-07-20,Mouse,Accessories,South,7,1239,177.39,7,2023,177.0,0.14317191283292977,25.34142857142857
2024-05-03,Headphones,Accessories,East,8,5880,436.85,5,2024,735.0,0.07429421768707484,54.60625
2022-09-03,Smartphone,Electronics,West,2,1668,437.3,9,2022,834.0,0.26217026378896885,218.65
2024-07-09,Printer,Office,West,7,4109,1037.64,7,2024,587.0,0.25252859576539305,148.23428571428573
2022-11-17,Smartwatch,Electronics,West,7,595,148.5,11,2022,85.0,0.2495798319327731,21.214285714285715
2023-12-28,Headphones,Accessories,East,7,8155,1587.91,12,2023,1165.0,0.1947161250766401,226.84428571428572
2022-05-30,Monitor,Accessories,South,3,1872,553.1,5,2022,624.0,0.2954594017094017,184.36666666666667
2024-04-17,Smartwatch,Electronics,East,6,2124,126.03,4,2024,354.0,0.0593361581920904,21.005
2024-09-30,Monitor,Accessories,West,5,5210,1338.8,9,2024,1042.0,0.25696737044145873,267.76
2024-06-02,Mouse,Accessories,South,7,5761,362.48,6,2024,823.0,0.0629196320083319,51.78285714285715
2022-09-26,Headphones,Accessories,South,7,6895,1596.35,9,2022,985.0,0.23152284263959388,228.04999999999998
2024-12-17,Smartwatch,Electronics,East,3,2118,317.08,12,2024,706.0,0.14970727101038714,105.69333333333333
2024-10-09,Smartwatch,Electronics,North,5,830,58.28,10,2024,166.0,0.07021686746987951,11.656
2023-07-14,Smartwatch,Electronics,North,1,851,93.56,7,2023,851.0,0.10994124559341951,93.56
2023-12-05,Tablet,Electronics,East,5,4730,1365.63,12,2023,946.0,0.28871670190274845,273.12600000000003
2022-06-03,Mouse,Accessories,West,6,5460,845.75,6,2022,910.0,0.1548992673992674,140.95833333333334
