Product Name,Sales,Profit,Quantity,Profit_margin,Cluster
Camera,1177381,207630.99,1795,0.17817743366631164,2
Headphones,988638,172478.2,1604,0.17467469417989448,0
Keyboard,1024507,175814.68,1684,0.17212293291521985,1
Laptop,1005873,185756.81,1658,0.17731139407107616,0
Monitor,1160048,202028.16999999998,1876,0.1732810740129728,2
Mouse,1074398,185763.69,1753,0.17329965570181777,1
Printer,1094216,185394.88,1734,0.17283870837667087,1
Smartphone,1069681,183296.97,1617,0.1718992437034205,1
Smartwatch,1049211,178995.81,1807,0.17352746254243465,1
Tablet,1023928,167505.01,1733,0.16980666529526744,1
